epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
82,1247.75,0.61833,0.38886,1.12005,0.0192,0.9995,1,0.995,0.8584,0.58948,0.26691,1.20362,0.00905,0.000330233,0.000330233,0.000330233
83,1264.29,0.6129,0.37838,1.10998,0.02117,0.99948,1,0.995,0.85708,0.58085,0.26344,1.17139,0.01517,0.000313729,0.000313729,0.000313729
84,1280.89,0.61961,0.38805,1.12579,0.01985,0.99949,1,0.995,0.8535,0.58744,0.26541,1.18667,0.00583,0.000297226,0.000297226,0.000297226
85,1297.52,0.62806,0.39651,1.14197,0.02199,0.99765,1,0.995,0.85441,0.57726,0.25994,1.16498,0.0051,0.000280723,0.000280723,0.000280723
86,1313.54,0.61469,0.39467,1.12675,0.02108,1,1,0.995,0.84859,0.589,0.27472,1.16372,0.00974,0.00026422,0.00026422,0.00026422
87,1329.94,0.61015,0.3905,1.12327,0.01783,1,1,0.995,0.8523,0.58803,0.27404,1.17106,0.00576,0.000247716,0.000247716,0.000247716
88,1346.3,0.60596,0.38571,1.13865,0.01997,0.9985,1,0.995,0.84965,0.59022,0.28027,1.1755,0.00564,0.000231213,0.000231213,0.000231213
89,1362.51,0.58821,0.37581,1.08256,0.01617,0.99764,1,0.995,0.85233,0.56394,0.26374,1.14681,0.00558,0.00021471,0.00021471,0.00021471
90,1378.55,0.58835,0.37606,1.09145,0.01563,0.9995,1,0.995,0.8433,0.57322,0.26826,1.15383,0.00536,0.000198206,0.000198206,0.000198206
91,1444.07,0.49474,0.28846,1.08866,0.01299,0.99766,1,0.995,0.84379,0.57973,0.26896,1.15926,0.00611,0.000181703,0.000181703,0.000181703
92,1460.56,0.48392,0.28414,1.07228,0.0118,0.9995,1,0.995,0.84653,0.5921,0.27867,1.17882,0.01162,0.0001652,0.0001652,0.0001652
93,1477.34,0.47351,0.28046,1.05771,0.00977,0.99785,1,0.995,0.84643,0.59071,0.27279,1.17339,0.00606,0.000148696,0.000148696,0.000148696
94,1494.09,0.48498,0.28596,1.06798,0.01263,0.99742,1,0.995,0.84806,0.58877,0.27409,1.17244,0.00609,0.000132193,0.000132193,0.000132193
95,1510.38,0.4617,0.27427,1.0452,0.00895,0.9995,1,0.995,0.85072,0.58214,0.27802,1.17313,0.00496,0.00011569,0.00011569,0.00011569
96,1526.66,0.47674,0.28834,1.07162,0.01297,0.99784,1,0.995,0.84368,0.57532,0.27785,1.16098,0.00511,9.91865e-05,9.91865e-05,9.91865e-05
97,1542.17,0.4607,0.2799,1.04345,0.00957,0.99951,1,0.995,0.84935,0.58089,0.27436,1.16968,0.00574,8.26832e-05,8.26832e-05,8.26832e-05
98,1556.06,0.45665,0.27279,1.04875,0.01176,0.99951,1,0.995,0.84985,0.57904,0.27695,1.16438,0.00556,6.61799e-05,6.61799e-05,6.61799e-05
99,1569.98,0.4545,0.27476,1.05208,0.01255,0.99951,1,0.995,0.84221,0.58334,0.27538,1.16778,0.00573,4.96766e-05,4.96766e-05,4.96766e-05
100,1583.81,0.45796,0.27172,1.03961,0.01082,0.99801,1,0.995,0.85102,0.58317,0.27301,1.16988,0.00572,3.31733e-05,3.31733e-05,3.31733e-05
